"","days_list","simulations_id","iso_today","quar_today","inf_today"
"1",0,2,0,0,1
"2",1,2,0,0,1
"3",2,2,0,0,1
"4",3,2,0,0,1
"5",4,2,0,0,1
"6",5,2,0,0,2
"7",6,2,0,0,3
"8",7,2,1,6,3
"9",8,2,1,9,3
"10",9,2,1,11,3
"11",10,2,1,12,6
"12",11,2,2,24,6
"13",12,2,2,29,9
"14",13,2,3,37,9
"15",14,2,4,47,11
"16",15,2,4,62,14
"17",16,2,4,69,17
"18",17,2,6,74,18
"19",18,2,8,86,18
"20",19,2,8,93,17
"21",20,2,11,96,19
"22",21,2,10,97,21
"23",22,2,11,96,21
"24",23,2,12,96,23
"25",24,2,12,100,26
"26",25,2,14,92,27
"27",26,2,16,98,29
"28",27,2,15,95,31
"29",28,2,15,87,34
"30",29,2,16,82,37
"31",30,2,16,78,39
"32",31,2,14,77,47
"33",32,2,17,76,50
"34",33,2,20,83,58
"35",34,2,22,96,60
"36",35,2,24,97,64
"37",36,2,26,101,66
"38",37,2,29,105,66
"39",38,2,32,103,70
"40",39,2,35,102,67
"41",40,2,36,96,66
"42",41,2,37,97,67
"43",42,2,42,101,64
"44",43,2,45,97,65
"45",44,2,49,101,60
"46",45,2,51,102,60
"47",46,2,50,95,60
"48",47,2,51,87,61
"49",48,2,47,81,61
"50",49,2,48,83,61
"51",50,2,49,91,57
"52",51,2,51,88,64
"53",52,2,52,89,64
"54",53,2,51,94,62
"55",54,2,49,92,58
"56",55,2,54,94,56
"57",56,2,49,93,54
"58",57,2,48,90,53
"59",58,2,47,93,47
"60",59,2,48,98,48
"61",60,2,46,98,48
"62",61,2,45,91,48
"63",62,2,46,83,48
"64",63,2,43,79,50
"65",64,2,41,71,48
"66",65,2,38,77,49
"67",66,2,37,80,49
"68",67,2,38,79,54
"69",68,2,41,80,53
"70",69,2,36,77,54
"71",70,2,36,78,54
"72",71,2,37,81,54
"73",72,2,36,78,52
"74",73,2,40,78,50
"75",74,2,43,80,50
"76",75,2,43,84,48
"77",76,2,43,86,48
"78",77,2,44,85,46
"79",78,2,41,85,42
"80",79,2,43,76,38
"81",80,2,43,74,37
"82",81,2,41,68,36
"83",82,2,41,72,36
"84",83,2,42,73,30
"85",84,2,43,71,27
"86",85,2,42,73,26
"87",86,2,39,74,24
"88",87,2,31,71,22
"89",88,2,29,70,18
"90",89,2,31,67,17
"91",90,2,27,71,16
"92",91,2,25,71,11
"93",92,2,25,72,10
"94",93,2,21,72,10
"95",94,2,21,67,8
"96",95,2,19,64,4
"97",96,2,16,55,4
"98",97,2,15,51,4
"99",98,2,11,50,4
"100",99,2,9,41,3
"101",100,2,8,35,4
"102",101,2,6,31,4
"103",102,2,4,26,4
"104",103,2,4,22,3
"105",104,2,4,17,3
"106",105,2,3,14,4
"107",106,2,2,9,4
"108",107,2,2,8,3
"109",108,2,1,6,5
"110",109,2,1,25,5
"111",110,2,2,31,5
"112",111,2,1,30,4
"113",112,2,1,30,4
"114",113,2,2,33,4
"115",114,2,2,35,4
"116",115,2,2,35,3
"117",116,2,3,33,3
"118",117,2,3,40,4
"119",118,2,3,42,4
"120",119,2,3,43,3
"121",120,2,3,43,3
"122",121,2,3,43,3
"123",122,2,3,43,3
"124",123,2,2,25,1
"125",124,2,2,24,1
"126",125,2,2,23,1
"127",126,2,2,22,1
"128",127,2,1,20,1
"129",128,2,1,18,1
"130",129,2,1,18,1
"131",130,2,1,18,0
"132",131,2,1,10,0
"133",132,2,1,7,0
"134",133,2,1,6,0
"135",134,2,1,6,0
"136",135,2,1,6,0
"137",136,2,1,6,0
"138",137,2,1,6,0
"139",138,2,0,1,0
"140",139,2,0,1,0
"141",140,2,0,1,0
"142",141,2,0,0,0
"143",142,2,0,0,0
"144",143,2,0,0,0
"145",144,2,0,0,0
"146",145,2,0,0,0
"147",146,2,0,0,0
"148",147,2,0,0,0
"149",148,2,0,0,0
"150",149,2,0,0,0
"151",150,2,0,0,0
"152",151,2,0,0,0
"153",152,2,0,0,0
"154",153,2,0,0,0
"155",154,2,0,0,0
"156",155,2,0,0,0
"157",156,2,0,0,0
"158",157,2,0,0,0
"159",158,2,0,0,0
"160",159,2,0,0,0
"161",160,2,0,0,0
"162",161,2,0,0,0
"163",162,2,0,0,0
"164",163,2,0,0,0
"165",164,2,0,0,0
"166",165,2,0,0,0
"167",166,2,0,0,0
"168",167,2,0,0,0
"169",168,2,0,0,0
"170",169,2,0,0,0
"171",170,2,0,0,0
"172",171,2,0,0,0
"173",172,2,0,0,0
"174",173,2,0,0,0
"175",174,2,0,0,0
"176",175,2,0,0,0
"177",176,2,0,0,0
"178",177,2,0,0,0
"179",178,2,0,0,0
"180",179,2,0,0,0
"181",180,2,0,0,0
"182",181,2,0,0,0
"183",182,2,0,0,0
"184",183,2,0,0,0
"185",184,2,0,0,0
"186",185,2,0,0,0
"187",186,2,0,0,0
"188",187,2,0,0,0
"189",188,2,0,0,0
"190",189,2,0,0,0
"191",190,2,0,0,0
"192",191,2,0,0,0
"193",192,2,0,0,0
"194",193,2,0,0,0
"195",194,2,0,0,0
"196",195,2,0,0,0
"197",196,2,0,0,0
"198",197,2,0,0,0
"199",198,2,0,0,0
"200",199,2,0,0,0
"201",200,2,0,0,0
"202",201,2,0,0,0
"203",202,2,0,0,0
"204",203,2,0,0,0
"205",204,2,0,0,0
"206",205,2,0,0,0
"207",206,2,0,0,0
"208",207,2,0,0,0
"209",208,2,0,0,0
"210",209,2,0,0,0
"211",210,2,0,0,0
"212",211,2,0,0,0
"213",212,2,0,0,0
"214",213,2,0,0,0
"215",214,2,0,0,0
"216",215,2,0,0,0
"217",216,2,0,0,0
"218",217,2,0,0,0
"219",218,2,0,0,0
"220",219,2,0,0,0
"221",220,2,0,0,0
"222",221,2,0,0,0
"223",222,2,0,0,0
"224",223,2,0,0,0
"225",224,2,0,0,0
"226",225,2,0,0,0
"227",226,2,0,0,0
"228",227,2,0,0,0
"229",228,2,0,0,0
"230",229,2,0,0,0
"231",230,2,0,0,0
"232",231,2,0,0,0
"233",232,2,0,0,0
"234",233,2,0,0,0
"235",234,2,0,0,0
"236",235,2,0,0,0
"237",236,2,0,0,0
"238",237,2,0,0,0
"239",238,2,0,0,0
"240",239,2,0,0,0
"241",240,2,0,0,0
"242",241,2,0,0,0
