"","days_list","simulations_id","iso_today","quar_today","inf_today"
"1",0,1,0,0,1
"2",1,1,0,0,1
"3",2,1,0,0,2
"4",3,1,0,0,2
"5",4,1,0,0,2
"6",5,1,1,0,2
"7",6,1,1,1,2
"8",7,1,1,3,2
"9",8,1,1,4,2
"10",9,1,1,4,4
"11",10,1,2,8,4
"12",11,1,2,10,6
"13",12,1,2,11,5
"14",13,1,2,11,7
"15",14,1,3,14,8
"16",15,1,3,15,12
"17",16,1,3,15,12
"18",17,1,4,15,13
"19",18,1,5,18,16
"20",19,1,5,23,20
"21",20,1,6,27,22
"22",21,1,6,36,26
"23",22,1,6,40,35
"24",23,1,8,52,40
"25",24,1,8,58,54
"26",25,1,13,73,76
"27",26,1,15,111,90
"28",27,1,23,144,97
"29",28,1,27,188,108
"30",29,1,34,229,112
"31",30,1,41,243,122
"32",31,1,46,261,126
"33",32,1,54,270,125
"34",33,1,61,279,123
"35",34,1,67,281,117
"36",35,1,71,275,113
"37",36,1,81,268,115
"38",37,1,82,269,106
"39",38,1,85,275,94
"40",39,1,85,268,82
"41",40,1,75,244,74
"42",41,1,71,218,67
"43",42,1,59,186,59
"44",43,1,51,149,53
"45",44,1,53,134,49
"46",45,1,49,125,48
"47",46,1,42,118,45
"48",47,1,36,112,43
"49",48,1,33,106,40
"50",49,1,33,100,40
"51",50,1,35,99,42
"52",51,1,32,103,41
"53",52,1,29,98,44
"54",53,1,26,95,41
"55",54,1,25,96,46
"56",55,1,24,98,44
"57",56,1,23,92,43
"58",57,1,27,92,37
"59",58,1,29,88,40
"60",59,1,24,85,41
"61",60,1,24,80,38
"62",61,1,25,75,34
"63",62,1,25,81,35
"64",63,1,26,89,30
"65",64,1,28,88,28
"66",65,1,26,78,26
"67",66,1,25,69,24
"68",67,1,22,66,20
"69",68,1,22,63,18
"70",69,1,17,56,17
"71",70,1,18,54,12
"72",71,1,17,49,12
"73",72,1,15,48,12
"74",73,1,15,46,13
"75",74,1,15,45,14
"76",75,1,14,54,14
"77",76,1,13,52,14
"78",77,1,10,47,14
"79",78,1,8,42,12
"80",79,1,7,43,12
"81",80,1,7,43,12
"82",81,1,8,39,11
"83",82,1,8,36,10
"84",83,1,8,37,8
"85",84,1,8,39,8
"86",85,1,8,39,6
"87",86,1,8,38,6
"88",87,1,8,38,6
"89",88,1,7,38,5
"90",89,1,4,27,6
"91",90,1,4,19,6
"92",91,1,3,16,7
"93",92,1,2,15,6
"94",93,1,2,10,6
"95",94,1,3,7,7
"96",95,1,3,7,8
"97",96,1,2,8,9
"98",97,1,2,12,9
