"","days_list","simulations_id","iso_today","quar_today","inf_today"
"1",0,1,0,0,2
"2",1,1,0,0,2
"3",2,1,0,0,2
"4",3,1,0,0,2
"5",4,1,1,0,6
"6",5,1,2,7,6
"7",6,1,2,9,7
"8",7,1,2,12,10
"9",8,1,3,13,10
"10",9,1,4,14,10
"11",10,1,4,17,9
"12",11,1,5,17,9
"13",12,1,5,20,13
"14",13,1,5,26,14
"15",14,1,6,28,15
"16",15,1,7,28,21
"17",16,1,7,36,23
"18",17,1,9,43,25
